audio_recv_googJitterBufferMs_2844916320,224.0,241.0,228.0,228.0,228.0,6.0,147.0,197.0,197.0,197.0,197.0,177.0,197.0,197.0,197.0,197.0,4.0,5.0,125.0,243.0,319.0,169.0,448.0,448.0,428.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,388.0,448.0,228.0,358.0,308.0,27.0,115.0,122.0,132.0,132.0,107.0,39.0,39.0,55.0,43.0,71.0,50.0,71.0,4.0,262.0,152.0,155.0,164.0,164.0,127.0,46.0,36.0
audio_recv_googJitterReceived_2844916320,1.0,1.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
audio_recv_googPreferredJitterBufferMs_2844916320,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,420.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,140.0,140.0,160.0,160.0,160.0,160.0,160.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,160.0,200.0,200.0,200.0,200.0,200.0,20.0,20.0,20.0
video_recv_bitsReceivedPerSecond_3966761829,190488.0,226168.0,206416.0,202056.0,212344.0,174240.0,282032.0,163304.0,205408.0,165576.0,156672.0,191864.0,186952.0,193640.0,208536.0,212344.0,229200.0,194152.0,282384.0,190816.0,214768.0,196800.0,216176.0,132864.0,138880.0,158400.0,181640.0,170240.0,215592.0,202248.0,204168.0,229064.0,212152.0,252664.0,193920.0,164816.0,214664.0,170424.0,183512.0,178968.0,187184.0,220944.0,210952.0,204080.0,208976.0,218384.0,265072.0,193792.0,281296.0,176592.0,249680.0,144744.0,236544.0,152400.0,167208.0,188280.0,203144.0,205216.0,227592.0,208848.0
video_recv_packetsReceivedPerSecond_3966761829,60.0,60.0,60.0,60.0,60.0,46.0,81.0,60.0,62.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,68.0,60.0,60.0,55.0,72.0,60.0,60.0,60.0,60.0,60.0,63.0,59.0,60.0,60.0,60.0,63.0,64.0,48.0,72.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,66.0,61.0,67.0,60.0,66.0,46.0,75.0,59.0,61.0,60.0,59.0,61.0,60.0,61.0
video_recv_googCurrentDelayMs_3966761829,43.0,42.0,42.0,42.0,41.0,41.0,45.0,45.0,44.0,44.0,44.0,43.0,43.0,43.0,42.0,42.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0,37.0,37.0,38.0,38.0,37.0,37.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0,35.0,35.0,36.0,36.0,35.0,35.0,35.0,35.0,34.0,35.0,34.0,34.0,34.0,34.0,33.0,33.0
video_recv_googDecodeMs_3966761829,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
video_recv_googFrameHeightReceived_3966761829,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
video_recv_googFrameRateOutput_3966761829,54.0,60.0,60.0,60.0,61.0,48.0,65.0,61.0,60.0,60.0,59.0,60.0,60.0,60.0,61.0,60.0,60.0,60.0,58.0,60.0,61.0,49.0,66.0,60.0,61.0,60.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,58.0,60.0,54.0,67.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,58.0,60.0,56.0,60.0,58.0,48.0,66.0,63.0,61.0,61.0,60.0,61.0,60.0,60.0
video_recv_googFrameRateReceived_3966761829,48.0,60.0,60.0,60.0,60.0,44.0,72.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,58.0,48.0,72.0,60.0,60.0,60.0,60.0,60.0,61.0,59.0,60.0,60.0,60.0,57.0,64.0,48.0,72.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,61.0,58.0,60.0,61.0,46.0,75.0,60.0,61.0,61.0,59.0,61.0,60.0,61.0
video_recv_googFrameWidthReceived_3966761829,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
video_recv_googInterframeDelayMax_3966761829,134.0,28.0,24.0,18.0,18.0,66.0,115.0,18.0,18.0,18.0,70.0,18.0,18.0,18.0,18.0,18.0,21.0,18.0,42.0,18.0,18.0,76.0,58.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,36.0,18.0,79.0,61.0,22.0,19.0,18.0,20.0,18.0,18.0,18.0,21.0,23.0,38.0,18.0,67.0,18.0,38.0,133.0,58.0,18.0,18.0,18.0,18.0,18.0,19.0,18.0
video_recv_googJitterBufferMs_3966761829,32.0,31.0,31.0,31.0,30.0,30.0,34.0,34.0,33.0,33.0,33.0,32.0,32.0,32.0,31.0,31.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0,29.0,29.0,28.0,28.0,28.0,27.0,27.0,27.0,26.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,24.0,24.0,25.0,25.0,24.0,24.0,24.0,24.0,23.0,24.0,23.0,23.0,23.0,23.0,22.0,22.0
video_recv_googPlisSent_3966761829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
audio_recv_bitsReceivedPerSecond_3824373348,12960.0,9280.0,9752.0,11720.0,18560.0,10256.0,18448.0,21240.0,30336.0,24872.0,25288.0,23032.0,20528.0,16504.0,8176.0,13312.0,25784.0,25208.0,20336.0,26304.0,27056.0,25856.0,22192.0,23800.0,31224.0,26072.0,25912.0,25872.0,21688.0,18792.0,17872.0,7648.0,8656.0,13040.0,30136.0,25416.0,25808.0,20392.0,31680.0,25696.0,27136.0,26280.0,23160.0,26368.0,26456.0,26264.0,25232.0,24424.0,24256.0,23488.0,23776.0,15192.0,11616.0,6272.0,12984.0,12416.0,9136.0,14160.0,16264.0,9336.0
audio_recv_packetsReceivedPerSecond_3824373348,22.0,13.0,15.0,19.0,34.0,18.0,35.0,42.0,58.0,49.0,50.0,44.0,38.0,29.0,11.0,22.0,50.0,49.0,38.0,50.0,50.0,50.0,45.0,46.0,59.0,50.0,50.0,49.0,41.0,35.0,32.0,10.0,12.0,25.0,55.0,50.0,50.0,40.0,59.0,48.0,50.0,50.0,44.0,50.0,50.0,50.0,48.0,46.0,46.0,44.0,45.0,26.0,18.0,10.0,18.0,20.0,13.0,24.0,28.0,14.0
audio_recv_googCurrentDelayMs_3824373348,94.0,79.0,64.0,70.0,104.0,101.0,152.0,184.0,244.0,205.0,177.0,165.0,131.0,100.0,83.0,70.0,158.0,298.0,245.0,280.0,343.0,357.0,350.0,345.0,394.0,430.0,441.0,443.0,352.0,176.0,107.0,60.0,42.0,52.0,205.0,168.0,90.0,69.0,269.0,354.0,361.0,361.0,364.0,347.0,363.0,361.0,351.0,347.0,344.0,336.0,337.0,203.0,89.0,58.0,59.0,43.0,42.0,48.0,56.0,57.0
audio_recv_googJitterBufferMs_3824373348,27.0,5.0,2.0,6.0,11.0,36.0,33.0,31.0,284.0,196.0,167.0,39.0,14.0,1.0,2.0,24.0,117.0,242.0,117.0,230.0,322.0,331.0,245.0,203.0,428.0,428.0,428.0,408.0,237.0,15.0,7.0,9.0,4.0,0.0,221.0,141.0,60.0,9.0,319.0,346.0,346.0,346.0,284.0,322.0,334.0,334.0,311.0,291.0,282.0,247.0,252.0,7.0,9.0,3.0,8.0,22.0,6.0,11.0,7.0,3.0
audio_recv_googJitterReceived_3824373348,20.0,20.0,20.0,31.0,31.0,31.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,51.0,51.0,51.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,30.0,30.0,30.0,30.0,26.0
audio_recv_googPreferredJitterBufferMs_3824373348,440.0,440.0,440.0,440.0,440.0,420.0,420.0,420.0,180.0,180.0,160.0,160.0,160.0,420.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,300.0,300.0,440.0,440.0,60.0,60.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,280.0,280.0,600.0,600.0,600.0,380.0,380.0,400.0
video_recv_bitsReceivedPerSecond_1674164749,99352.0,99160.0,109672.0,111352.0,143480.0,126576.0,126384.0,133536.0,158440.0,126816.0,131936.0,126752.0,128768.0,148496.0,161648.0,165112.0,169880.0,204312.0,212200.0,216872.0,226584.0,208760.0,232488.0,117976.0,210504.0,160072.0,161504.0,188088.0,193544.0,217248.0,231880.0,203512.0,209272.0,226304.0,144752.0,191072.0,190504.0,117456.0,187064.0,172064.0,190232.0,190136.0,202384.0,213800.0,216960.0,209232.0,199528.0,163440.0,194288.0,196056.0,223328.0,154856.0,177160.0,158328.0,265856.0,170256.0,164232.0,188864.0,202872.0,225016.0
video_recv_packetsReceivedPerSecond_1674164749,54.0,39.0,53.0,60.0,60.0,58.0,60.0,51.0,69.0,60.0,60.0,59.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0,60.0,58.0,32.0,71.0,61.0,60.0,60.0,60.0,60.0,62.0,60.0,60.0,54.0,44.0,60.0,60.0,24.0,68.0,60.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,37.0,61.0,60.0,61.0,36.0,60.0,46.0,74.0,60.0,60.0,60.0,60.0,60.0
